Name	Ingredients	Instructions	Prep Time (min)	Diet Type	Sustainability Score	Waste Parts	Reuse Suggestions
Ridge Gourd Stir Fry	Ridge gourd, mustard seeds, curry leaves, green chili, salt, minimal oil	1. Peel ridge gourd and chop into small pieces. 2. Heat 1 tsp oil in a pan, add mustard seeds and wait until they crackle. 3. Add curry leaves and chopped green chili, sauté briefly. 4. Add ridge gourd pieces and salt to taste. Cover and cook on low heat for 10-12 minutes until tender, stirring occasionally to avoid sticking. 5. Serve hot.	20	Vegan	9.5	Ridge gourd peels	Make ridge gourd peel chutney.
Ridge Gourd Peel Chutney	Ridge gourd peels, green chili, garlic, salt, lemon juice	1. Wash ridge gourd peels thoroughly. 2. In a blender, add peels, green chili, garlic, salt, and a squeeze of lemon juice. 3. Blend until smooth, adding water as needed for consistency. 4. Adjust salt and lemon to taste. 5. Serve as a side chutney with meals or snacks.	10	Vegan	9.8	None	Use directly as chutney.
Tomato Rasam	Tomatoes, tamarind pulp, mustard seeds, garlic, curry leaves, green chili, coriander leaves, salt	1. Chop tomatoes and boil them until soft. 2. Soak tamarind pulp in warm water and extract the juice. 3. Heat 1 tsp oil in a pan, add mustard seeds, garlic, curry leaves, and green chili; sauté until fragrant. 4. Add boiled tomatoes and tamarind juice to the pan. 5. Add salt and simmer for 5 minutes. 6. Garnish with chopped coriander leaves and serve hot.	25	Vegan	9.0	None	Make compost from peels, tamarind, and wet waste as natural fertilizer.
Beetroot Poriyal	Beetroot, mustard seeds, dry red chili, grated coconut, curry leaves, salt, minimal oil	1. Peel and grate beetroot. 2. Heat 1 tsp oil, add mustard seeds, dry red chili, and curry leaves. 3. Add grated beetroot and salt, sauté for 10 minutes on medium heat. 4. Add grated coconut, mix well, and cook for 2 more minutes. 5. Serve warm.	20	Vegan	9.3	Beetroot skin	Use beetroot skin in salad or raita.
Carrot and Peas Stir Fry	Carrot, green peas, mustard seeds, curry leaves, salt, minimal oil	1. Peel and dice carrots. 2. Heat 1 tsp oil, add mustard seeds and curry leaves. 3. Add carrots and peas with salt to taste. 4. Cook covered on low heat for 10-12 minutes until tender, stirring occasionally. 5. Serve hot.	20	Vegan	9.4	Carrot peels	Dry carrot peels and grind to make vegetable powder for soups and dals.
Cucumber Salad	Cucumber, lemon juice, salt, pepper, coriander leaves	1. Peel cucumber if desired, then slice thinly. 2. Toss cucumber slices with lemon juice, salt, and pepper. 3. Garnish with chopped coriander leaves. 4. Serve fresh and chilled.	10	Vegan	9.7	Cucumber peel	Use cucumber peels to make detox water or add to compost.
Moong Dal Khichdi	Moong dal, rice, ginger, cumin seeds, turmeric, salt	1. Rinse moong dal and rice together thoroughly. 2. Heat 1 tsp oil in a pressure cooker, add cumin seeds and grated ginger, sauté briefly. 3. Add dal, rice, turmeric, salt, and 3 cups water. 4. Cook covered until dal and rice are soft and mushy (about 25 minutes or 3 whistles in a pressure cooker). 5. Serve hot with a squeeze of lemon.	30	Vegan	9.5	None	Compost any small food scraps.
Spinach Stir Fry	Spinach, mustard seeds, garlic, salt, minimal oil	1. Wash and chop spinach. 2. Heat 1 tsp oil in a pan, add mustard seeds and crushed garlic, sauté until fragrant. 3. Add spinach and salt. 4. Cook covered for 5-7 minutes until wilted. 5. Serve hot.	15	Vegan	9.6	Spinach stems	Use spinach stems to make vegetable stock or add to compost.
Bottle Gourd Curry	Bottle gourd, mustard seeds, curry leaves, green chili, minimal oil, salt	1. Peel and dice bottle gourd. 2. Heat 1 tsp oil, add mustard seeds, curry leaves, and green chili, sauté briefly. 3. Add diced bottle gourd and salt. 4. Cook covered on low heat for 15 minutes until tender. 5. Serve hot with rice or roti.	25	Vegan	9.4	Bottle gourd peel	Use bottle gourd peels to make chutney or compost.
Lemon Rice	Cooked rice, mustard seeds, green chili, curry leaves, turmeric, lemon juice, peanuts, salt	1. Heat 1 tsp oil in a pan. 2. Add mustard seeds, green chili, curry leaves, and peanuts; sauté until peanuts are lightly browned. 3. Add cooked rice, turmeric, and salt. Mix thoroughly and cook for 5 minutes. 4. Turn off heat, add lemon juice, and mix again. 5. Serve warm or at room temperature.	20	Vegan	9.6	None	Compost any leftover scraps.
